,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,4/16/11,,POR,W,89,81,,27,66,0.409,10,19,0.526,17,47,0.362,0.485,25,29,0.862,10,29,39,14,5,7,13,16,35,76,0.461,2,16,0.125,33,60,0.55,0.474,9,13,0.692,11,29,40,22,7,3,14,26
2,2,4/19/11,,POR,W,101,89,,37,76,0.487,8,19,0.421,29,57,0.509,0.539,19,26,0.731,10,27,37,20,6,3,6,20,32,66,0.485,7,14,0.5,25,52,0.481,0.538,18,27,0.667,7,30,37,20,2,4,13,22
3,3,4/21/11,@,POR,L,92,97,,35,68,0.515,9,22,0.409,26,46,0.565,0.581,13,23,0.565,7,30,37,16,4,3,16,22,36,75,0.48,8,14,0.571,28,61,0.459,0.533,17,21,0.81,7,30,37,18,8,6,10,20
4,4,4/23/11,@,POR,L,82,84,,31,76,0.408,10,26,0.385,21,50,0.42,0.474,10,10,1,9,28,37,19,4,2,15,21,29,69,0.42,4,19,0.211,25,50,0.5,0.449,22,23,0.957,6,28,34,13,8,8,10,15
5,5,4/25/11,,POR,W,93,82,,32,78,0.41,3,17,0.176,29,61,0.475,0.429,26,35,0.743,20,29,49,22,8,4,13,19,32,74,0.432,4,16,0.25,28,58,0.483,0.459,14,19,0.737,9,28,37,13,6,7,15,24
6,6,4/28/11,@,POR,W,103,96,,39,78,0.5,6,18,0.333,33,60,0.55,0.538,19,22,0.864,12,27,39,23,4,3,9,19,35,79,0.443,5,21,0.238,30,58,0.517,0.475,21,26,0.808,15,26,41,16,3,3,7,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,5/2/11,@,LAL,W,96,94,,39,79,0.494,9,20,0.45,30,59,0.508,0.551,9,11,0.818,5,35,40,30,8,8,11,17,36,84,0.429,5,19,0.263,31,65,0.477,0.458,17,20,0.85,11,33,44,21,9,8,11,12
8,8,5/4/11,@,LAL,W,93,81,,34,81,0.42,8,25,0.32,26,56,0.464,0.469,17,21,0.81,11,28,39,20,4,4,11,16,34,83,0.41,2,20,0.1,32,63,0.508,0.422,11,20,0.55,13,31,44,18,8,5,10,20
9,9,5/6/11,,LAL,W,98,92,,31,67,0.463,12,29,0.414,19,38,0.5,0.552,24,29,0.828,8,31,39,22,4,5,14,18,39,82,0.476,3,13,0.231,36,69,0.522,0.494,11,14,0.786,13,24,37,19,6,1,11,26
10,10,5/8/11,,LAL,W,122,86,,44,73,0.603,20,32,0.625,24,41,0.585,0.74,14,19,0.737,6,34,40,32,11,2,20,23,31,82,0.378,5,24,0.208,26,58,0.448,0.409,19,26,0.731,15,24,39,16,11,2,16,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,5/17/11,,OKC,W,121,112,,39,73,0.534,9,23,0.391,30,50,0.6,0.596,34,36,0.944,8,25,33,22,7,8,13,28,34,72,0.472,7,16,0.438,27,56,0.482,0.521,37,43,0.86,11,24,35,19,7,3,13,27
12,12,5/19/11,,OKC,L,100,106,,35,80,0.438,9,27,0.333,26,53,0.491,0.494,21,24,0.875,14,23,37,18,7,2,12,22,39,70,0.557,7,18,0.389,32,52,0.615,0.607,21,26,0.808,9,29,38,17,5,5,15,24
13,13,5/21/11,@,OKC,W,93,87,,36,82,0.439,7,21,0.333,29,61,0.475,0.482,14,18,0.778,9,28,37,21,11,4,12,24,27,74,0.365,1,17,0.059,26,57,0.456,0.372,32,36,0.889,12,33,45,11,8,9,14,17
14,14,5/23/11,@,OKC,W,112,105,OT,35,81,0.432,8,25,0.32,27,56,0.482,0.481,34,39,0.872,5,28,33,16,15,2,13,22,42,90,0.467,2,13,0.154,40,77,0.519,0.478,19,25,0.76,20,35,55,23,9,9,26,29
15,15,5/25/11,,OKC,W,100,96,,32,78,0.41,5,20,0.25,27,58,0.466,0.442,31,36,0.861,14,30,44,19,8,5,12,17,35,82,0.427,5,16,0.313,30,66,0.455,0.457,21,25,0.84,15,34,49,16,7,7,13,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,5/31/11,@,MIA,L,84,92,,25,67,0.373,9,22,0.409,16,45,0.356,0.44,25,32,0.781,6,30,36,18,6,8,11,22,31,80,0.388,11,24,0.458,20,56,0.357,0.456,19,26,0.731,16,30,46,20,5,4,12,21
17,17,6/2/11,@,MIA,W,95,93,,36,75,0.48,6,17,0.353,30,58,0.517,0.52,17,21,0.81,11,30,41,18,8,2,20,20,34,73,0.466,9,30,0.3,25,43,0.581,0.527,16,24,0.667,6,24,30,13,15,6,12,17
18,18,6/5/11,,MIA,L,86,88,,28,70,0.4,8,21,0.381,20,49,0.408,0.457,22,27,0.815,12,30,42,18,3,8,14,14,34,78,0.436,8,19,0.421,26,59,0.441,0.487,12,15,0.8,9,27,36,20,8,5,13,27
19,19,6/7/11,,MIA,W,86,83,,29,73,0.397,4,19,0.211,25,54,0.463,0.425,24,30,0.8,12,29,41,13,7,2,11,18,32,75,0.427,2,14,0.143,30,61,0.492,0.44,17,24,0.708,15,29,44,19,8,5,15,23
20,20,6/9/11,,MIA,W,112,103,,39,69,0.565,13,19,0.684,26,50,0.52,0.659,21,27,0.778,4,22,26,23,8,3,11,20,37,70,0.529,8,20,0.4,29,50,0.58,0.586,21,26,0.808,9,27,36,25,5,4,18,26
21,21,6/12/11,@,MIA,W,105,95,,41,82,0.5,11,26,0.423,30,56,0.536,0.567,12,18,0.667,10,30,40,19,11,1,14,24,34,72,0.472,7,23,0.304,27,49,0.551,0.521,20,33,0.606,9,30,39,20,7,3,17,14
,,,,,16-5,2063,1942,,724,1572,0.461,184,467,0.394,540,1105,0.489,0.519,431,533,0.809,203,603,806,423,149,86,271,422,718,1606,0.447,112,386,0.29,606,1220,0.497,0.482,394,512,0.77,238,605,843,379,152,107,285,453
