,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,10/27/10,,CHA,W,101,86,,41,75,0.547,4,15,0.267,37,60,0.617,0.573,15,18,0.833,7,34,41,29,12,5,17,18,29,73,0.397,5,13,0.385,24,60,0.4,0.432,23,24,0.958,8,28,36,22,8,3,21,15
2,2,10/29/10,,MEM,L,90,91,,34,72,0.472,6,18,0.333,28,54,0.519,0.514,16,24,0.667,8,37,45,24,7,6,20,22,31,80,0.388,4,15,0.267,27,65,0.415,0.413,25,36,0.694,14,31,45,17,12,3,13,24
3,3,10/31/10,@,LAC,W,99,83,,36,77,0.468,7,16,0.438,29,61,0.475,0.513,20,29,0.69,8,33,41,23,7,7,14,22,28,82,0.341,4,21,0.19,24,61,0.393,0.366,23,31,0.742,15,33,48,17,7,3,17,23
4,4,11/3/10,@,DEN,W,102,101,,39,84,0.464,7,15,0.467,32,69,0.464,0.506,17,19,0.895,12,33,45,22,6,5,14,17,41,89,0.461,10,28,0.357,31,61,0.508,0.517,9,12,0.75,13,26,39,25,7,3,12,21
5,5,11/6/10,,DEN,L,92,103,,34,76,0.447,4,15,0.267,30,61,0.492,0.474,20,26,0.769,11,35,46,12,7,5,21,16,37,82,0.451,13,21,0.619,24,61,0.393,0.53,16,21,0.762,9,29,38,21,16,2,12,17
6,6,11/8/10,,BOS,W,89,87,,33,66,0.5,6,15,0.4,27,51,0.529,0.545,17,20,0.85,4,34,38,20,6,8,19,12,38,91,0.418,4,8,0.5,34,83,0.41,0.44,7,7,1,14,28,42,24,11,2,13,21
7,7,11/10/10,@,MEM,W,106,91,,46,85,0.541,9,25,0.36,37,60,0.617,0.594,5,11,0.455,11,38,49,30,8,5,10,19,38,84,0.452,4,14,0.286,34,70,0.486,0.476,11,19,0.579,12,28,40,20,4,3,12,10
8,8,11/12/10,,PHI,W,99,90,,35,79,0.443,6,22,0.273,29,57,0.509,0.481,23,29,0.793,16,31,47,19,10,4,10,20,37,83,0.446,2,16,0.125,35,67,0.522,0.458,14,23,0.609,14,28,42,22,6,3,13,22
9,9,11/15/10,,NOH,W,98,95,,34,69,0.493,11,27,0.407,23,42,0.548,0.572,19,27,0.704,8,30,38,21,3,3,15,18,34,77,0.442,11,25,0.44,23,52,0.442,0.513,16,24,0.667,12,30,42,20,9,3,13,26
